19
239	204
191	93
116	264	5.46214
74	82	4.95157
166	159	14.634
95	174	18.6668
196	245	1.17361
62	95	4.74694
320	64	14.0122
187	19	15.2671
16	360	14.4647
344	217	28.5585
8	45	9.60731
121	83	12.7364
212	259	4.56636
258	60	17.8058
109	286	6.49387
200	249	1.61428
171	252	5.41478
45	25	9.51674
73	332	12.8041
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
