22
17	165
121	66
448	317	32.5803
72	361	17.7632
171	233	15.1962
49	181	13.2347
404	70	11.3825
241	329	19.1668
282	125	15.4142
159	79	13.8345
437	53	14.776
441	6	15.6643
133	265	17.3424
21	354	15.6563
23	151	4.88244
103	172	18.4014
90	434	26.1015
247	102	14.9464
426	112	17.6988
292	303	4.91221
291	225	23.4428
304	312	4.82595
470	438	42.837
354	329	21.1021
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
