24
21.972	0.978
7.089	4.506
6.772	48.092	1.0
13.274	8.075	1.0
44.512	51.147	1.0
45.392	34.045	1.0
44.206	21.776	1.0
10.25	10.648	1.0
7.613	15.289	1.0
6.499	19.36	1.0
9.066	12.875	1.0
44.127	47.312	1.0
14.273	3.636	1.0
18.746	38.607	1.0
46.949	40.219	1.0
32.301	36.792	1.0
17.217	1.411	1.0
21.91	38.793	1.0
2.406	25.582	1.0
14.164	11.404	1.0
37.68	7.866	1.0
25.063	37.857	1.0
0.359	40.676	1.0
2.416	35.307	1.0
14.601	47.216	1.0
12.677	28.966	1.0
0.841	0.799	0.806	0.842	0.813	0.73	0.722	0.9	0.791	0.737	0.789	0.702	0.796	0.829	0.791	0.732	0.772	0.851	0.759	0.899	0.722	0.731	0.715	0.703
