26
20.426	53.424
61.792	13.431
14.409	50.648	1.0
40.103	55.797	1.0
67.427	23.742	1.0
42.914	37.19	1.0
52.799	17.389	1.0
0.781	22.348	1.0
29.861	48.99	1.0
11.299	71.617	1.0
58.803	17.166	1.0
26.029	49.388	1.0
7.452	52.237	1.0
36.648	33.24	1.0
32.758	39.25	1.0
50.697	30.254	1.0
43.908	31.019	1.0
42.022	47.076	1.0
50.532	24.689	1.0
35.057	62.534	1.0
35.356	50.931	1.0
54.024	53.694	1.0
71.755	50.467	1.0
70.861	57.988	1.0
69.091	28.259	1.0
67.19	64.051	1.0
67.486	56.277	1.0
26.345	40.42	1.0
0.739	0.889	0.733	0.815	0.821	0.88	0.718	0.862	0.731	0.802	0.781	0.883	0.879	0.758	0.773	0.77	0.741	0.844	0.863	0.829	0.896	0.858	0.823	0.739	0.859	0.88
