29
11.122	0.17
6.391	22.953
22.743	36.675	1.0
29.413	11.969	1.0
18.809	30.029	1.0
28.014	14.7	1.0
15.267	22.209	1.0
27.283	6.467	1.0
20.18	16.617	1.0
31.872	14.73	1.0
32.254	31.756	1.0
6.806	34.201	1.0
27.494	2.277	1.0
2.041	4.175	1.0
6.248	15.588	1.0
27.107	36.505	1.0
15.707	4.508	1.0
24.199	11.884	1.0
0.926	9.028	1.0
22.219	2.682	1.0
36.456	21.164	1.0
18.083	34.039	1.0
23.209	15.067	1.0
30.641	1.459	1.0
33.338	24.415	1.0
24.997	34.036	1.0
6.523	18.134	1.0
1.478	35.529	1.0
11.476	37.609	1.0
22.853	19.754	1.0
30.483	36.82	1.0
0.884	0.861	0.732	0.779	0.766	0.853	0.844	0.847	0.865	0.733	0.756	0.739	0.708	0.828	0.789	0.726	0.708	0.77	0.762	0.717	0.825	0.787	0.807	0.812	0.8	0.86	0.706	0.882	0.882
