30
214	488
269	399
564	755	27.2896
411	700	26.884
232	366	5.00931
623	129	6.78634
571	254	6.69607
243	781	22.6836
630	93	4.19767
410	541	7.18442
456	559	9.50811
811	400	21.4493
719	535	28.6087
532	239	6.96748
819	83	21.4804
357	92	5.50759
864	185	11.9357
92	723	12.5219
28	717	6.72706
385	60	4.95923
510	63	22.9293
154	612	12.3032
548	344	8.38113
314	268	9.44613
592	397	7.17274
244	457	3.88744
262	474	3.61533
272	80	8.61045
261	343	7.39259
11	898	35.8277
69	570	12.1639
72	302	18.4071
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
