						algo_2														algo_3														algo_4
Name      	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     
n_6_e_1   	-      	-      	-      	-      	-      	-      	~~     79.97  	0.02   	10     	6      	0.0    	17     	~~     79.97  	0.173  	10     	6      	0.0    	16     	~~     
n_6_e_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_e_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_e_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_e_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_e_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_e_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_e_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_e_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_e_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_m_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_m_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_m_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_m_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_m_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_m_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_m_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_m_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_m_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_m_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_h_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_h_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_h_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_h_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_h_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_h_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_h_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_h_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_h_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_6_h_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_e_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_e_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_e_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_e_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_e_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_e_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_e_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_e_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_e_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_e_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_m_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_m_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_m_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_m_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_m_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_m_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_m_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_m_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_m_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_m_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_h_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_h_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_h_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_h_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_h_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_h_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_h_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_h_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_h_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_7_h_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_e_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_e_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_e_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_e_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_e_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_e_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_e_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_e_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_e_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_e_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_m_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_m_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_m_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_m_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_m_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_m_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_m_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_m_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_m_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_m_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_h_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_h_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_h_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_h_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_h_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_h_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_h_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_h_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_h_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_8_h_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_e_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_e_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_e_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_e_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_e_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_e_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_e_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_e_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_e_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_e_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_m_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_m_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_m_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_m_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_m_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_m_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_m_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_m_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_m_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_m_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_h_1   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_h_2   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_h_3   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_h_4   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_h_5   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_h_6   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_h_7   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_h_8   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_h_9   	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_9_h_10  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_10_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
