22
60	45
33	56
68	75	1.46919
46	16	3.63909
75	25	1.37695
83	74	1.71757
91	59	2.65785
74	30	1.15309
64	69	1.62777
84	53	2.15741
21	5	2.81623
35	6	1.49877
68	18	2.83144
97	47	3.57563
44	53	2.18881
10	10	3.43046
87	19	2.75229
99	5	4.60033
26	27	3.66865
96	90	4.59859
37	48	2.23002
34	11	1.11084
39	71	3.83638
80	68	1.75369
0.495752	0.407428	0.389989	0.523877	0.323541	0.306278	0.311127	0.391215	0.448676	0.320265	0.364175	0.378702	0.370264	0.482075	0.491998	0.497614	0.373678	0.519779	0.414377	0.309182	0.455144	0.524702
