25
21	4
69	76
45	12	5.8713
56	61	4.02457
54	21	1.66532
28	39	4.54633
91	19	14.1982
38	37	2.99925
37	79	2.10828
56	18	1.65115
1	64	6.28933
25	83	1.76762
55	53	3.3063
41	76	2.19763
27	80	0.955821
29	73	2.13258
18	57	1.99132
93	96	9.46104
20	89	3.50453
61	39	5.39194
39	43	2.95957
37	22	5.53388
14	58	1.73056
48	36	4.97985
28	78	1.09623
98	77	8.78909
36	93	6.33276
0.497571	0.496489	0.478157	0.472869	0.35397	0.425838	0.311896	0.500207	0.527066	0.309144	0.36153	0.387008	0.4291	0.520732	0.309954	0.510909	0.437012	0.454279	0.529642	0.394001	0.49366	0.356556	0.424691	0.45917	0.444369
