29
34	78
47	22
89	79	5.09326
95	4	7.05163
12	46	2.70819
23	67	3.80978
34	40	2.97534
9	76	3.64375
41	44	2.80858
9	65	3.82441
43	21	1.33783
91	55	0.343076
35	62	2.82914
84	20	5.15985
81	46	2.6696
42	84	3.77923
21	6	5.47368
69	34	4.24732
92	52	0.832774
75	92	4.88873
56	42	5.01932
20	44	3.10304
19	95	6.20536
19	22	5.0308
45	16	1.94072
73	47	2.53651
67	21	4.14818
90	93	5.41204
39	68	2.79166
91	54	0.396752
19	77	3.91044
0.437348	0.48952	0.470876	0.548405	0.422042	0.453603	0.43879	0.363337	0.308094	0.422234	0.454694	0.535579	0.466541	0.392866	0.305501	0.535137	0.50721	0.371023	0.404949	0.465127	0.32661	0.525653	0.540035	0.424775	0.358744	0.485146	0.460444	0.317588	0.502828
