30	5
96	207
462	505
262	359	1.03995
258	360	0.541835
259	357	0.538344
261	356	0.329302
257	362	0.350581
259	362	0.369611
25	154	2.1892
28	159	0.192075
31	154	0.206306
32	156	0.568856
32	154	0.223898
34	154	0.435083
583	537	0.180285
576	533	0.39813
580	533	1.30073
583	539	0.59909
577	532	0.152132
577	539	1.5279
72	597	1.51383
72	605	0.743729
68	604	0.874004
71	602	0.501015
62	598	2.48522
68	596	0.152877
578	144	2.67655
577	150	0.244447
578	150	0.188657
572	153	0.900761
574	151	0.193924
582	152	1.61083
