28
22	446
475	333
416	728	42.0714
19	750	8.71327
319	687	41.96
338	210	37.4865
150	658	22.7245
551	349	29.1496
776	472	13.5079
624	317	31.7036
164	722	20.8419
576	624	13.4775
284	373	55.4801
758	609	13.533
110	721	17.4732
40	426	9.34817
109	524	26.5324
724	614	13.42
596	734	14.4513
526	185	37.0947
94	624	21.5893
573	2	56.6957
575	663	13.3565
742	474	13.492
580	771	15.9771
30	773	7.67158
679	466	19.3043
418	143	37.3131
366	11	54.9489
32	539	28.6992
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
