30
278	350
393	334
77	113	0.860633
107	505	0.769669
482	38	17.9402
550	46	0.631283
15	424	3.3413
332	98	0.479202
326	98	0.515566
11	47	23.9714
216	389	7.79428
357	298	9.09472
298	205	6.52054
67	522	4.18665
59	505	0.347553
165	572	11.7062
180	361	0.782318
586	44	8.01463
118	256	0.572471
542	203	9.65349
316	545	11.0424
35	402	0.714107
196	92	2.24615
185	252	10.8137
491	435	0.818194
554	587	39.7131
306	498	0.699244
497	233	2.89729
178	110	0.808404
320	239	0.581246
419	125	10.3697
544	325	9.17304
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
