31
589	476
810	368
832	853	5.37532
266	671	39.5175
498	693	17.3583
682	373	28.4802
752	254	23.953
136	708	20.8961
483	6	73.0706
379	513	25.9238
901	350	21.5306
780	343	8.63732
572	721	16.5203
895	588	7.21761
291	427	19.558
813	466	21.6161
226	441	15.5531
950	223	9.80821
43	626	15.0735
169	805	29.869
881	609	7.15793
452	348	44.5716
650	730	22.4193
208	54	83.4585
773	567	25.662
15	783	37.81
856	294	21.0439
853	906	15.4025
917	237	8.92832
27	301	51.1567
92	591	16.862
935	638	14.8202
827	833	6.07668
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
