32
258	131
928	775
600	57	17.8842
1021	213	18.5599
596	402	12.9034
116	1020	6.09622
629	93	18.3896
759	1023	58.7592
616	365	14.125
23	162	39.0668
212	578	50.593
908	909	50.6024
336	652	57.2417
592	877	26.0942
270	191	20.0686
150	244	31.5904
989	176	16.4905
579	223	18.6575
622	201	15.4204
366	49	33.0214
213	944	37.6058
507	889	32.2305
900	530	72.0605
505	613	60.2289
348	338	59.8826
457	14	38.5869
94	75	44.0869
704	643	68.7432
99	1019	6.21124
77	793	77.674
288	122	12.4533
702	165	31.894
52	274	36.5695
897	77	44.5779
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
