32
774	924
330	306
175	560	15.4974
151	915	26.4505
873	836	26.5608
159	501	15.4659
769	589	31.2078
770	182	7.29829
108	800	33.8503
969	183	26.7527
738	36	17.1062
267	844	32.23
370	469	11.5401
688	793	32.4312
69	59	28.2038
525	922	28.8928
632	505	40.5536
766	217	10.115
724	208	11.7778
212	237	28.5688
302	591	22.5207
763	695	25.5425
947	93	25.4499
90	191	26.5984
2	547	36.93
669	52	15.3712
558	762	26.8563
343	762	32.8922
1008	968	51.9328
371	283	13.4782
396	572	25.6071
321	471	12.3215
467	5	48.6106
630	916	25.4036
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
