33
540	19
789	439
700	1083	41.0884
1038	695	8.05555
959	593	2.61669
60	941	19.121
1084	713	8.74144
915	764	9.64106
524	492	15.0718
269	55	8.96429
974	594	1.53331
16	644	22.5411
570	357	14.9901
709	149	1.42305
191	34	12.125
861	698	14.5312
215	554	10.7835
651	761	29.9917
248	704	15.4716
146	380	18.5331
1023	570	6.84863
311	376	27.9057
538	101	6.30307
952	643	7.10402
1046	291	23.092
1058	163	23.7452
125	1085	31.5214
412	240	19.2913
681	475	17.2111
760	70	11.4291
982	954	31.9122
507	66	6.28396
128	602	10.3389
704	155	1.51907
520	680	26.4475
1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000
